author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 52784533;homeowner;https://dolgoprudny.cian.ru/sale/flat/296715058/;Долгопрудный;sale;flat;9;17;2;57.0;17000000;;Парковая ;32А;Водники;
Городские квартиры;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308904802/;Долгопрудный;sale;flat;5;17;2;70.0;17200000;;Старое Дмитровское шоссе;13;Водники;
ID 61286069;homeowner;https://dolgoprudny.cian.ru/sale/flat/306755996/;Долгопрудный;sale;flat;5;17;2;70.0;17200000;;Старое Дмитровское шоссе;13к2;Водники;Московские водники
ID 79077;realtor;https://dolgoprudny.cian.ru/sale/flat/304974479/;Долгопрудный;sale;flat;3;14;2;74.2;18000000;;Гранитный тупик;2;Долгопрудная;
ID 86861206;unknown;https://dolgoprudny.cian.ru/sale/flat/308363999/;Долгопрудный;sale;flat;21;23;2;68.1;18500000;;Новый бульвар;5;Долгопрудная;Новый бульвар
ID 119607440;homeowner;https://dolgoprudny.cian.ru/sale/flat/306976918/;Долгопрудный;sale;flat;4;10;2;76.0;19380000;;проспект Пацаева;7к2;Водники;
ID 86913188;homeowner;https://dolgoprudny.cian.ru/sale/flat/294156664/;Долгопрудный;sale;flat;4;12;2;80.0;25000000;;проспект Пацаева;7к5;Водники;
ID 107308883;homeowner;https://dolgoprudny.cian.ru/sale/flat/308702966/;Долгопрудный;sale;flat;1;4;2;43.8;5700000;;Флотская ;3;Водники;
ID 19429466;homeowner;https://dolgoprudny.cian.ru/sale/flat/308270982/;Долгопрудный;sale;flat;3;23;1;31.0;6600000;;Парковая ;44к1;Водники;Бригантина
ID 78649018;realtor;https://dolgoprudny.cian.ru/sale/flat/308765158/;Долгопрудный;sale;flat;3;3;1;31.5;6650000;;Московское шоссе;27;Долгопрудная;
ID 122175496;realtor;https://dolgoprudny.cian.ru/sale/flat/308618046/;Долгопрудный;sale;flat;4;5;1;30.5;7562256;; Циолковского;14;Долгопрудная;
ID 98837104;homeowner;https://dolgoprudny.cian.ru/sale/flat/308072324/;Долгопрудный;sale;flat;4;4;1;31.2;7650000;; Павлова;9;Долгопрудная;
ID 12346026;homeowner;https://dolgoprudny.cian.ru/sale/flat/308574833/;Долгопрудный;sale;flat;1;5;1;31.0;7900000;;Нагорная ;2к1;Долгопрудная;
ID 108747665;homeowner;https://dolgoprudny.cian.ru/sale/flat/307820583/;Долгопрудный;sale;flat;7;24;1;33.9;8900000;;Парковая ;46к1;Водники;Бригантина
ID 122425457;homeowner;https://dolgoprudny.cian.ru/sale/flat/307973740/;Долгопрудный;sale;flat;5;24;2;49.2;9100000;;Парковая ;46;Водники;Бригантина
ID 123520703;homeowner;https://dolgoprudny.cian.ru/sale/flat/308856534/;Долгопрудный;sale;flat;2;18;1;36.0;9200000;;Набережная ;33;Водники;Московские водники
ID 123264485;homeowner;https://dolgoprudny.cian.ru/sale/flat/308526072/;Долгопрудный;sale;flat;3;5;2;43.5;9200000;; Циолковского;13;Долгопрудная;
ID 66055610;homeowner;https://dolgoprudny.cian.ru/sale/flat/308549666/;Долгопрудный;sale;flat;19;19;1;44.6;9399000;;проспект Ракетостроителей;9к3;Долгопрудная;
ID 17998010;homeowner;https://dolgoprudny.cian.ru/sale/flat/308853361/;Долгопрудный;sale;flat;2;25;1;35.0;9500000;;Новый бульвар;7к1;Долгопрудная;
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Адрес;developer;https://mytishchi.cian.ru/sale/flat/306852801/;Мытищи;sale;flat;5;16;3;61.4;13446600;;Троицкая ;3Г;Медведково;Адрес
CENTURY 21 Столичная недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308339795/;Мытищи;sale;flat;4;17;3;52.0;8800000;;переулок 1-й Стрелковый;3;Медведково;Мытищи Парк
ID 76163786;unknown;https://mytishchi.cian.ru/sale/flat/308572462/;Мытищи;sale;flat;4;9;4;67.4;8900000;;Юбилейная ;29к2;Медведково;
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570258/;Мытищи;sale;flat;11;25;3;54.13;13560000;;;;Медведково;Страна.Парковая ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302656948/;Мытищи;sale;flat;7;9;3;77.4;9100000;;Юбилейная ;23к1;Медведково;
На Петровке;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308599212/;Мытищи;sale;flat;7;11;3;74.2;14000000;; Рождественская;2;Медведково;Рождественский
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/297125498/;Мытищи;sale;flat;24;25;3;53.68;15117284;;;;Медведково;Кит 2 ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305185863/;Мытищи;sale;flat;6;16;3;52.0;9500000;; Стрельбище Динамо;10;Бабушкинская;Мытищи Парк
ID 45811822;unknown;https://mytishchi.cian.ru/sale/flat/303711162/;Мытищи;sale;flat;5;18;4;110.0;26900000;;Летная ;21;Медведково;Квартал 9-18
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570137/;Мытищи;sale;flat;3;25;4;93.1;20860000;;;;Медведково;Страна.Парковая ЖК
MOD Estate;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304494294/;Мытищи;sale;flat;3;16;3;65.0;9750000;;Олимпийский проспект;30;Медведково;
Космополис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306856099/;Мытищи;sale;flat;2;20;3;98.5;13500000;;Октябрьский проспект;10А;Медведково;Цветочный город
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/306505797/;Мытищи;sale;flat;9;25;3;93.5;25586848;;Новомытищинский проспект;4А;Бабушкинская;КИТ
Цитадель;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308674640/;Мытищи;sale;flat;5;17;3;85.8;14459000;; Кадомцева;4;Медведково;Новое Медведково
ID 3482362;realtor;https://mytishchi.cian.ru/sale/flat/307839084/;Мытищи;sale;flat;5;9;3;62.3;9200000;; Семашко;21;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/303513913/;Мытищи;sale;flat;2;24;3;81.3;15662282;;;к5;Медведково;Яуза Парк ЖК
Homeapp;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307579917/;Мытищи;sale;flat;9;18;3;78.7;12100000;; Белобородова;4Г;Медведково;
Космополис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305823495/;Мытищи;sale;flat;6;25;3;75.0;11990000;;Юбилейная ;16;Медведково;Ярославский
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308649652/;Мытищи;sale;flat;13;15;3;81.15;14458081;;;к5;Ростокино;Мытищи Парк ЖК
ID 390234;unknown;https://mytishchi.cian.ru/sale/flat/306825403/;Мытищи;sale;flat;6;9;3;61.6;8400000;;Летная ;18к1;Медведково;
Простор-недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/303274860/;Мытищи;sale;flat;12;25;3;71.0;10880000;; Борисовка;14;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075506/;Мытищи;sale;flat;18;23;3;63.7;12506850;;;к11.3;Медведково;Белый Grad ЖК
Лидер жилья -   продажа недвижимости;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308825553/;Мытищи;sale;flat;6;7;3;70.0;16800000;;бульвар Тенистый;5;Медведково;Императорские Мытищи
ID 66602955;homeowner;https://mytishchi.cian.ru/sale/flat/308494884/;Мытищи;sale;flat;11;27;3;87.7;16000000;; Мира;39;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304076259/;Мытищи;sale;flat;17;23;3;54.5;11125726;;;к11.2;Медведково;Белый Grad ЖК
Лидер жилья -   продажа недвижимости;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307553576/;Мытищи;sale;flat;6;7;3;70.0;16500000;;бульвар Тенистый;9;Медведково;Императорские Мытищи
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570207/;Мытищи;sale;flat;8;25;4;92.03;20840000;;;;Медведково;Страна.Парковая ЖК
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570273/;Мытищи;sale;flat;11;25;3;60.58;14410000;;;;Медведково;Страна.Парковая ЖК
ПИК;developer;https://mytishchi.cian.ru/sale/flat/303514262/;Мытищи;sale;flat;20;24;3;81.5;15963242;;;к5;Медведково;Яуза Парк ЖК
NSGroup;real_estate_agent;https://mytishchi.cian.ru/sale/flat/294967131/;Мытищи;sale;flat;5;5;4;160.0;30500000;; Благовещенская;15;Медведково;
Vershina Real Estate;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307848416/;Мытищи;sale;flat;6;9;3;51.0;8400000;; 1-я Крестьянская;2к3;Медведково;
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/299608309/;Мытищи;sale;flat;25;25;3;55.99;14485092;;;;Медведково;Кит 2 ЖК
Александра Тимофеева;realtor;https://mytishchi.cian.ru/sale/flat/307498045/;Мытищи;sale;flat;20;25;3;78.6;12500000;; Борисовка;24А;Медведково;Ярославский
ID 65852836;homeowner;https://mytishchi.cian.ru/sale/flat/308295942/;Мытищи;sale;flat;7;9;3;60.0;8900000;; Академика Каргина;38к1;Медведково;
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570411/;Мытищи;sale;flat;12;25;3;62.44;14660000;;;;Медведково;Страна.Парковая ЖК
Мегаполис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/303922314/;Мытищи;sale;flat;6;9;4;67.0;11600000;;Летная ;30к3;Медведково;
ИНФИНИТИ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/300737781/;Мытищи;sale;flat;19;20;3;62.7;8990000;; Стрелковая;6;Медведково;Квартал 29
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075678/;Мытищи;sale;flat;16;20;3;62.4;13630795;;;;Медведково;Белый Grad ЖК
Артур Геворкян;realtor;https://mytishchi.cian.ru/sale/flat/308215510/;Мытищи;sale;flat;2;5;4;110.0;25750000;; Благовещенская;19;Медведково;
ID 53350077;unknown;https://mytishchi.cian.ru/sale/flat/296571153/;Мытищи;sale;flat;23;25;4;102.0;14300000;; Борисовка;24А;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075522/;Мытищи;sale;flat;23;23;4;79.5;14800700;;;к11.3;Медведково;Белый Grad ЖК
Ирина Дроздова;realtor;https://mytishchi.cian.ru/sale/flat/308541838/;Мытищи;sale;flat;2;4;-1;78.3;5600000;; Семашко;50/10к2;Медведково;
ID 71101582;unknown;https://mytishchi.cian.ru/sale/flat/307849099/;Мытищи;sale;flat;13;18;3;70.0;15500000;;проспект Астрахова;7;Медведково;Лидер Парк
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/298075702/;Мытищи;sale;flat;22;25;3;72.04;18803009;;;;Медведково;Кит 2 ЖК
1ДАН Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/301804324/;Мытищи;sale;flat;5;9;3;62.4;8390000;;Летная ;25;Медведково;
Парадайс;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306674870/;Мытищи;sale;flat;4;10;3;68.0;9500000;; Колпакова;40/2;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075886/;Мытищи;sale;flat;23;23;3;76.5;16177090;;;;Медведково;Белый Grad ЖК
Самолет Плюс Бабушкинская;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308490709/;Мытищи;sale;flat;3;5;3;58.6;8200000;;Новомытищинский проспект;10к2;Медведково;
Градомиръ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302151796/;Мытищи;sale;flat;6;6;3;76.0;19400000;;бульвар Тенистый;10;Медведково;Императорские Мытищи
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075067/;Мытищи;sale;flat;16;20;3;55.0;11169291;;;к11.1;Медведково;Белый Grad ЖК
Lunkin Estate;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307749796/;Мытищи;sale;flat;7;18;3;62.7;15000000;;Летная ;21;Медведково;Квартал 9-18
ID 83778947;homeowner;https://mytishchi.cian.ru/sale/flat/300374627/;Мытищи;sale;flat;2;6;4;136.0;37000000;;Новомытищинский проспект;41А;Медведково;Каскад
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570587/;Мытищи;sale;flat;14;25;3;59.1;13220000;;;;Медведково;Страна.Парковая ЖК
САМОЛЕТ ПЛЮС НЕДВИЖИМОСТЬ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/301104391/;Мытищи;sale;flat;4;6;3;72.8;12850000;;бульвар Тенистый;10;Медведково;Императорские Мытищи
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308069642/;Мытищи;sale;flat;8;9;4;70.7;9100000;;Летная ;27;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/305892537/;Мытищи;sale;flat;2;18;3;67.4;13678118;;;к41;Медведково;Новое Медведково ЖК
ПРОСПЕКТ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/299998026/;Мытищи;sale;flat;6;25;3;74.5;14490000;;Юбилейная ;28;Медведково;
Самолет Плюс Мытищи;real_estate_agent;https://mytishchi.cian.ru/sale/flat/300919317/;Мытищи;sale;flat;8;17;3;82.0;12499000;;Троицкая ;5;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/308029871/;Мытищи;sale;flat;21;23;4;81.6;16626913;;;;Медведково;Белый Grad ЖК
Екатерина Хасьянова;realtor;https://mytishchi.cian.ru/sale/flat/308144642/;Мытищи;sale;flat;2;9;3;57.0;7500000;мкр. Леонидовка; Академика Каргина;38к1;;
ID 28259;realtor;https://mytishchi.cian.ru/sale/flat/308549742/;Мытищи;sale;flat;4;17;3;82.6;12500000;; Борисовка;4А;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306204659/;Мытищи;sale;flat;17;25;3;76.0;16214448;;;16.1;Медведково;Ярославский
Гранд-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308834544/;Мытищи;sale;flat;2;5;3;57.9;11700000;;Летная ;16к3;Медведково;
ID 132059;realtor;https://mytishchi.cian.ru/sale/flat/279000389/;Мытищи;sale;flat;2;12;4;109.2;17490000;; Колпакова;37;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075065/;Мытищи;sale;flat;14;20;3;57.9;11196782;;;к11.1;Медведково;Белый Grad ЖК
Владимир Волошинов;realtor;https://mytishchi.cian.ru/sale/flat/300364954/;Мытищи;sale;flat;1;14;3;110.0;15500000;; Семашко;26к1;Медведково;
Этажи Москва;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306777156/;Мытищи;sale;flat;4;5;3;52.1;8200000;;Новомытищинский проспект;12к1;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075109/;Мытищи;sale;flat;21;23;3;78.2;13970944;;;к11.1;Медведково;Белый Grad ЖК
РОСБАНК;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304816596/;Мытищи;sale;flat;2;3;3;55.6;7300000;; 4-я Парковая;14;Медведково;
ID 103089705;homeowner;https://mytishchi.cian.ru/sale/flat/301409213/;Мытищи;sale;flat;3;4;3;75.0;14450000;; Герцена;1к2;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/305892544/;Мытищи;sale;flat;18;18;4;80.3;18085980;;;к41;Медведково;Новое Медведково ЖК
Иван Усачев;realtor;https://mytishchi.cian.ru/sale/flat/305729911/;Мытищи;sale;flat;6;14;3;95.0;18999000;; Веры Волошиной;56;Медведково;
ID 19592765;homeowner;https://mytishchi.cian.ru/sale/flat/308442232/;Мытищи;sale;flat;16;20;3;70.0;17490000;; Рождественская;11;Медведково;Ньютон
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308654342/;Мытищи;sale;flat;20;24;3;61.32;19222969;;;;Медведково;Долина Яузы ЖК
Василий Павлов;realtor;https://mytishchi.cian.ru/sale/flat/294659485/;Мытищи;sale;flat;9;18;3;77.2;15250000;; 2-я Институтская;28;Медведково;
Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305332849/;Мытищи;sale;flat;13;25;3;78.8;12500000;; Борисовка;28А;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/308029867/;Мытищи;sale;flat;20;20;4;83.2;15407652;;;к11.2;Медведково;Белый Grad ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305185887/;Мытищи;sale;flat;22;25;3;65.0;12600000;; Академика Каргина;25;Медведково;Отрадный
ID 11054429;unknown;https://mytishchi.cian.ru/sale/flat/303594522/;Мытищи;sale;flat;2;9;3;53.9;7400000;; Академика Каргина;36;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304078992/;Мытищи;sale;flat;9;17;3;60.1;13596275;;;к39;Медведково;Новое Медведково ЖК
Анна Кирилишина;realtor;https://mytishchi.cian.ru/sale/flat/307902124/;Мытищи;sale;flat;4;12;3;86.0;17000000;; Мира;35;Медведково;Ярославский
ID 497174;homeowner;https://mytishchi.cian.ru/sale/flat/301816520/;Мытищи;sale;flat;3;9;4;69.8;9200000;;Юбилейная ;27к1;Медведково;
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570091/;Мытищи;sale;flat;22;25;3;70.52;16840000;;;;Медведково;Страна.Парковая ЖК
ИНКОМ-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308443175/;Мытищи;sale;flat;8;9;3;59.8;9500000;;Летная ;28к2;Медведково;
Ольга Малафеева;realtor;https://mytishchi.cian.ru/sale/flat/302091120/;Мытищи;sale;flat;20;25;3;76.6;13500000;; Борисовка;28А;Медведково;Ярославский
МИЭЛЬ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306885237/;Мытищи;sale;flat;6;24;3;80.3;19300000;; Воровского;10;Медведково;Мытищи-Холл
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304078930/;Мытищи;sale;flat;5;18;3;70.3;17590516;;проспект Астрахова;1к2;Медведково;Новое Медведково
Центр-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307887728/;Мытищи;sale;flat;16;18;3;103.0;21500000;; Сукромка;5;Медведково;
ID 6706426;unknown;https://mytishchi.cian.ru/sale/flat/304819134/;Мытищи;sale;flat;12;14;4;135.0;28500000;;Новомытищинский проспект;43к5;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/307732485/;Мытищи;sale;flat;2;15;3;80.5;16379752;;;к39;Медведково;Новое Медведково ЖК
Елена Белевич;realtor;https://mytishchi.cian.ru/sale/flat/297708744/;Мытищи;sale;flat;5;9;3;61.0;9000000;;Юбилейная ;23к1;Медведково;
ID 9690520;realtor;https://mytishchi.cian.ru/sale/flat/308329411/;Мытищи;sale;flat;9;25;3;80.0;14600000;; Борисовка;24;Медведково;Ярославский
ИНВЕСТ-СТРОЙ;developer;https://mytishchi.cian.ru/sale/flat/308943184/;Мытищи;sale;flat;13;25;3;60.9;10500000;"а также рядом находятся национальный парк ""Лосиный остров"" и аква-парк;
- удобное транспортное сообщение: в пешей доступности ж/д станция Мытищи - от неё можно доехать скоростной электричкой до центра Москвы за 18 минут; с расположенного неподалеку автовокзала курсируют автобусы до Пироговского водохранилища";"ТРЦ ""Июнь"" и многих других мест; 10 минут пешком до остановки на Ярославском шоссе";;Медведково;Отрадный
Тёплый Дом;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308505986/;Мытищи;sale;flat;3;4;3;84.5;15900000;; Герцена;1к3;Медведково;
ID 12970524;unknown;https://mytishchi.cian.ru/sale/flat/306880604/;Мытищи;sale;flat;13;23;4;104.9;30990000;;Юбилейная ;10;Медведково;Ярославский
ИНВЕСТ-СТРОЙ;developer;https://mytishchi.cian.ru/sale/flat/308944010/;Мытищи;sale;flat;21;22;3;78.3;13702500;;Медицинская ;11;Медведково;Отрадный
Бест офис на Таганской;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308948698/;Мытищи;sale;flat;4;5;3;56.4;6990000;;Первомайская ;19Б;Медведково;
ID 100004422;homeowner;https://mytishchi.cian.ru/sale/flat/283837577/;Мытищи;sale;flat;6;6;3;90.0;12500000;;бульвар Тенистый;8;Медведково;Императорские Мытищи
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308649825/;Мытищи;sale;flat;15;17;3;77.7;14953520;;;к4.2;Медведково;Мытищи Парк ЖК
ИНКОМ-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307503791/;Мытищи;sale;flat;4;5;3;51.4;8190000;;Октябрьская ;22;Медведково;
ID 77613140;realtor;https://mytishchi.cian.ru/sale/flat/308472493/;Мытищи;sale;flat;7;17;3;56.4;9200000;;переулок 1-й Стрелковый;1;Медведково;Мытищи Парк
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304078928/;Мытищи;sale;flat;17;17;3;66.4;15962577;;;к35;Медведково;Новое Медведково ЖК
ИМПЕРИЯ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/293968997/;Мытищи;sale;flat;4;9;3;61.3;9200000;; Семашко;19;Медведково;
ID 85496861;homeowner;https://mytishchi.cian.ru/sale/flat/286854688/;Мытищи;sale;flat;6;9;3;60.0;8850000;;Новомытищинский проспект;39к1;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304076182/;Мытищи;sale;flat;3;12;3;56.0;10935147;;;к11.2;Медведково;Белый Grad ЖК
ИНКОМ-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/303133733/;Мытищи;sale;flat;10;17;3;88.9;17100000;; Академика Каргина;23А;Медведково;Отрадный
ID 10850082;homeowner;https://mytishchi.cian.ru/sale/flat/305250260/;Мытищи;sale;flat;2;14;3;82.4;16300000;;Октябрьский проспект;10А;Медведково;Цветочный город
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304078912/;Мытищи;sale;flat;3;17;3;67.6;16049635;;;к35;Медведково;Новое Медведково ЖК
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307639517/;Мытищи;sale;flat;5;9;3;60.0;12100000;;Олимпийский проспект;15к16;Медведково;
ID 121429154;homeowner;https://mytishchi.cian.ru/sale/flat/306952700/;Мытищи;sale;flat;11;16;3;74.9;12700000;;Юбилейная ;40к1;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/308029856/;Мытищи;sale;flat;15;20;3;71.4;14500003;;;;Медведково;Белый Grad ЖК
Абсолют Капитал Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305970331/;Мытищи;sale;flat;2;14;4;75.8;12500000;;Новомытищинский проспект;49к1;Медведково;
author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
;;https://dolgoprudny.cian.ru/sale/flat/282489923/;Долгопрудный;sale;flat;18;18;2;63.7;13766697;;;к2;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308561269/;Долгопрудный;sale;flat;10;23;2;52.1;15190000;;Парковая ;54;Долгопрудная;
Альфалот;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308775890/;Долгопрудный;sale;flat;13;17;2;39.5;1935000;;Корабельная ;1;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/306627890/;Долгопрудный;sale;flat;9;23;2;49.2;11550530;;;;Хлебниково;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308568163/;Долгопрудный;sale;flat;9;18;1;44.0;10550000;;Московская ;56к3;Водники;Московские водники
Святослав Голованов;realtor;https://dolgoprudny.cian.ru/sale/flat/307711060/;Долгопрудный;sale;flat;1;2;1;33.0;4700000;;Северная ;2;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/293100101/;Долгопрудный;sale;flat;15;23;2;44.2;9019051;;;;Водники;Бригантина ЖК
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308192211/;Долгопрудный;sale;flat;5;23;1;36.8;6800000;;Парковая ;46к1;Водники;Бригантина
Лариса Калина;realtor;https://dolgoprudny.cian.ru/sale/flat/308736324/;Долгопрудный;sale;flat;19;21;2;66.1;11990000;;проспект Ракетостроителей;7к1;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/297092716/;Долгопрудный;sale;flat;15;23;2;41.1;9062798;;;;Хлебниково;Бригантина ЖК
ID 119235442;homeowner;https://dolgoprudny.cian.ru/sale/flat/304961831/;Долгопрудный;sale;flat;24;26;1;49.0;11800000;;Лихачевский проспект;80к1;Долгопрудная;
Виктор Клевицкий;realtor;https://dolgoprudny.cian.ru/sale/flat/301375247/;Долгопрудный;sale;flat;2;3;2;49.4;10350000;;Первомайская ;29;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/297092707/;Долгопрудный;sale;flat;17;23;2;57.3;11943571;;;;Хлебниково;Бригантина ЖК
Адресат;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307723766/;Долгопрудный;sale;flat;17;23;1;34.1;8350000;;Парковая ;48;Долгопрудная;Бригантина
ID 31556;realtor;https://dolgoprudny.cian.ru/sale/flat/308781051/;Долгопрудный;sale;flat;3;16;1;35.0;7300000;;проспект Пацаева;17;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/306627925/;Долгопрудный;sale;flat;13;23;1;34.5;8780785;;;;Хлебниково;Бригантина ЖК
ГОРОДА;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/305463933/;Долгопрудный;sale;flat;10;17;2;70.6;13700000;;Новый бульвар;15;Долгопрудная;
Татьяна Карпова;realtor;https://dolgoprudny.cian.ru/sale/flat/308824074/;Долгопрудный;sale;flat;2;5;2;41.6;6900000;; Циолковского;13;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/303600346/;Долгопрудный;sale;flat;19;23;2;34.1;7631445;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307153381/;Долгопрудный;sale;flat;10;19;1;46.0;8800000;;проспект Ракетостроителей;1к1;Долгопрудная;
Вячеслав Чекалин;realtor;https://dolgoprudny.cian.ru/sale/flat/302399780/;Долгопрудный;sale;flat;8;26;1;39.6;7400000;;Старое Дмитровское шоссе;11;Водники;Московские водники
;;https://dolgoprudny.cian.ru/sale/flat/307506709/;Долгопрудный;sale;flat;7;23;2;47.2;9579367;;;;Водники;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308703396/;Долгопрудный;sale;flat;5;5;1;28.9;6450000;;Московское шоссе;49к1;Водники;
Елена Тихонова;realtor;https://dolgoprudny.cian.ru/sale/flat/308451113/;Долгопрудный;sale;flat;6;21;1;47.0;9200000;;проспект Ракетостроителей;1к1;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/299394744/;Долгопрудный;sale;flat;10;23;1;42.0;9169139;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308712844/;Долгопрудный;sale;flat;3;10;1;42.2;8300000;;Дирижабельная ;15Б;Долгопрудная;
АЛЬЯНС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308524393/;Долгопрудный;sale;flat;13;24;2;52.0;10600000;;Парковая ;46к1;Водники;Бригантина
;;https://dolgoprudny.cian.ru/sale/flat/283774236/;Долгопрудный;sale;flat;2;23;2;45.7;9776327;;;;Водники;Бригантина ЖК
